name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,profit,cluster
Now You See Me 2,5,0,2016,6.5,260000,Jon M. Chu,Ed Solomon,Jesse Eisenberg,53,90000000,334897606,Summit Entertainment,129,244897606,0
Miss Sloane,6,6,2016,7.5,68000,John Madden,Jonathan Perera,Jessica Chastain,14,13000000,9101546,EuropaCorp,132,-3898454,0
The Jungle Book,4,1,2016,7.4,264000,Jon Favreau,Justin Marks,Neel Sethi,52,175000000,966554929,Fairview Entertainment,106,791554929,2
10 Cloverfield Lane,5,0,2016,7.2,300000,Dan Trachtenberg,Josh Campbell,John Goodman,53,15000000,110216998,Paramount Pictures,103,95216998,0
The Lost City of Z,5,3,2017,6.6,83000,James Gray,James Gray,Charlie Hunnam,53,30000000,19263938,Keep Your Head,141,-10736062,0
Finding Dory,4,2,2016,7.3,250000,Andrew Stanton,Andrew Stanton,Ellen DeGeneres,53,200000000,1028570942,Pixar Animation Studios,97,828570942,2
Lion,5,3,2017,8.0,221000,Garth Davis,Saroo Brierley,Dev Patel,52,12000000,140853810,The Weinstein Company,118,128853810,0
Lights Out,5,6,2016,6.3,119000,David F. Sandberg,Eric Heisserer,Teresa Palmer,53,4900000,148868835,New Line Cinema,81,143968835,3
Meet the Blacks,6,4,2016,4.8,36000,Deon Taylor,Deon Taylor,Mike Epps,53,900000,9097072,Hidden Empire Film Group (HEFG),94,8197072,3
Allied,6,0,2016,7.1,146000,Robert Zemeckis,Steven Knight,Brad Pitt,52,85000000,119520023,Paramount Pictures,124,34520023,0
Jack Reacher: Never Go Back,5,0,2016,6.1,144000,Edward Zwick,Richard Wenk,Tom Cruise,8,60000000,162146076,Paramount Pictures,118,102146076,0
Bridget Jones's Baby,6,4,2016,6.5,71000,Sharon Maguire,Helen Fielding,Renée Zellweger,53,35000000,211952420,Universal Pictures,123,176952420,0
How to Be Single,6,4,2016,6.1,83000,Christian Ditter,Abby Kohn,Dakota Johnson,53,38000000,112343513,New Line Cinema,110,74343513,0
Snowden,6,3,2016,7.3,143000,Oliver Stone,Kieran Fitzgerald,Joseph Gordon-Levitt,52,40000000,37357216,Endgame Entertainment,134,-2642784,0
Dangal,3,0,2016,8.4,167000,Nitesh Tiwari,Piyush Gupta,Aamir Khan,20,52211949,303723636,Aamir Khan Productions,161,251511687,0
The Bad Batch,6,0,2017,5.3,28000,Ana Lily Amirpour,Ana Lily Amirpour,Suki Waterhouse,53,6000000,201890,Human Stew Factory,118,-5798110,0
Triple 9,6,0,2016,6.3,69000,John Hillcoat,Matt Cook,Casey Affleck,53,20000000,23177948,Worldview Entertainment,115,3177948,0
Deepwater Horizon,5,0,2016,7.1,157000,Peter Berg,Matthew Michael Carnahan,Mark Wahlberg,53,110000000,121790373,Summit Entertainment,107,11790373,0
The Choice,5,6,2016,6.6,37000,Ross Katz,Bryan Sipe,Benjamin Walker,53,52211949,23079932,Nicholas Sparks Productions,111,-29132017,3
Sully,5,3,2016,7.4,248000,Clint Eastwood,Todd Komarnicki,Tom Hanks,53,60000000,240797623,Flashlight Films,96,180797623,0
Morgan,6,0,2016,5.8,41000,Luke Scott,Seth W. Owen,Kate Mara,53,8000000,8809407,Burk A Project,92,809407,1
Pride and Prejudice and Zombies,5,0,2016,5.8,53000,Burr Steers,Burr Steers,Lily James,53,28000000,16457494,Cross Creek Pictures,108,-11542506,0
The Infiltrator,6,3,2016,7.0,71000,Brad Furman,Ellen Furman,Bryan Cranston,52,28000000,21011110,George Films,127,-6988890,0
The Edge of Seventeen,6,4,2016,7.3,110000,Kelly Fremon Craig,Kelly Fremon Craig,Hailee Steinfeld,53,9000000,19370020,Gracie Films,104,10370020,3
A Cure for Wellness,6,6,2017,6.4,90000,Gore Verbinski,Justin Haythe,Dane DeHaan,53,40000000,26620002,New Regency Productions,146,-13379998,0
London Has Fallen,6,0,2016,5.9,149000,Babak Najafi,Creighton Rothenberger,Gerard Butler,53,60000000,205754447,Millennium Films,99,145754447,0
Dirty Grandpa,6,4,2016,5.9,117000,Dan Mazer,John Phillips,Robert De Niro,53,25000000,94073028,Lionsgate,102,69073028,3
"Hail, Caesar!",5,4,2016,6.3,127000,Ethan Coen,Joel Coen,Josh Brolin,53,22000000,63945241,Universal Pictures,106,41945241,0
The 5th Wave,5,0,2016,5.2,103000,J Blakeson,Susannah Grant,Chloë Grace Moretz,53,38000000,109906372,Columbia Pictures,112,71906372,0
Trolls,4,2,2016,6.5,75000,Mike Mitchell,Jonathan Aibel,Anna Kendrick,53,125000000,346864886,DreamWorks Animation,92,221864886,0
Allegiant,5,0,2016,5.7,113000,Robert Schwentke,Noah Oppenheim,Shailene Woodley,53,110000000,179246868,Mandeville Films,120,69246868,0
Paterson,6,4,2016,7.4,74000,Jim Jarmusch,Jim Jarmusch,Adam Driver,14,5000000,9588282,K5 International,118,4588282,0
Swiss Army Man,6,4,2016,7.0,109000,Dan Kwan,Daniel Scheinert,Paul Dano,53,3000000,4935501,Astrakan Films,97,1935501,3
The Great Wall,5,0,2017,5.9,128000,Yimou Zhang,Carlo Bernard,Matt Damon,53,150000000,334933831,Legendary East,103,184933831,0
Mike and Dave Need Wedding Dates,6,4,2016,6.0,85000,Jake Szymanski,Andrew Jay Cohen,Zac Efron,53,33000000,77068246,Twentieth Century Fox,98,44068246,3
Bad Moms,6,4,2016,6.2,117000,Jon Lucas,Jon Lucas,Mila Kunis,53,20000000,183936074,STX Entertainment,100,163936074,0
Collateral Beauty,5,6,2016,6.8,95000,David Frankel,Allan Loeb,Will Smith,53,36000000,88528280,New Line Cinema,97,52528280,3
The Boy,5,9,2016,6.0,84000,William Brent Bell,Stacey Menear,Lauren Cohan,53,10000000,73929392,Lakeshore Entertainment,97,63929392,3
Fences,5,6,2016,7.2,101000,Denzel Washington,August Wilson,Denzel Washington,53,24000000,64414761,BRON Studios,139,40414761,0
Alice Through the Looking Glass,4,1,2016,6.2,98000,James Bobin,Linda Woolverton,Mia Wasikowska,53,170000000,299820798,Walt Disney Pictures,113,129820798,0
The Brothers Grimsby,6,0,2016,6.2,96000,Louis Leterrier,Sacha Baron Cohen,Sacha Baron Cohen,52,35000000,27979040,Blue Sky Films,83,-7020960,1
Ice Age: Collision Course,4,2,2016,5.7,60000,Mike Thurmeier,Michael J. Wilson,Ray Romano,53,105000000,408754975,Blue Sky Studios,94,303754975,0
Patriots Day,6,0,2017,7.4,96000,Peter Berg,Peter Berg,Mark Wahlberg,17,45000000,52185751,CBS Films,133,7185751,0
Keeping Up with the Joneses,5,0,2016,5.9,60000,Greg Mottola,Michael LeSieur,Zach Galifianakis,53,40000000,29918745,Fox 2000 Pictures,105,-10081255,0
Genius,5,3,2016,6.6,19000,Michael Grandage,John Logan,Colin Firth,52,52211949,7435006,Desert Wolf Productions,104,-44776943,0
The Secret Life of Pets,4,2,2016,6.5,188000,Chris Renaud,Cinco Paul,Louis C.K.,53,75000000,875458631,Universal Pictures,87,800458631,2
Popstar: Never Stop Never Stopping,6,4,2016,6.7,57000,Akiva Schaffer,Andy Samberg,Andy Samberg,53,20000000,9680029,Universal Pictures,87,-10319971,3
Goldstone,6,5,2016,6.5,5100,Ivan Sen,Ivan Sen,Aaron Pedersen,2,52211949,650352,Bunya Productions,110,-51561597,0
20th Century Women,6,4,2017,7.3,42000,Mike Mills,Mike Mills,Annette Bening,53,7000000,7214806,A24,119,214806,0
Assassin's Creed,5,0,2016,5.7,190000,Justin Kurzel,Michael Lesslie,Michael Fassbender,53,125000000,240697856,New Regency Productions,115,115697856,0
Teenage Mutant Ninja Turtles: Out of the Shadows,5,0,2016,6.0,87000,Dave Green,Josh Appelbaum,Megan Fox,53,135000000,245623848,Paramount Pictures,112,110623848,0
White Girl,3,5,2016,5.7,10000,Elizabeth Wood,Elizabeth Wood,Morgan Saylor,53,52211949,200242,Bank Street Films,88,-52011707,1
Everybody Wants Some!!,6,4,2016,6.9,53000,Richard Linklater,Richard Linklater,Blake Jenner,53,10000000,4644472,Annapurna Pictures,117,-5355528,3
The Take,6,0,2016,6.3,40000,James Watkins,Andrew Baldwin,Idris Elba,52,20000000,14857808,StudioCanal,92,-5142192,0
The Finest Hours,5,0,2016,6.8,63000,Craig Gillespie,Scott Silver,Chris Pine,53,80000000,52099090,Walt Disney Pictures,117,-27900910,0
Greater,4,3,2016,7.3,5300,David L. Hunt,Brian Reindl,Neal McDonough,53,9000000,2000620,Greater Productions,130,-6999380,0
The Love Witch,10,4,2017,6.2,14000,Anna Biller,Anna Biller,Samantha Robinson,53,55224657,246218,Anna Biller Productions,120,-54978439,3
The Belko Experiment,6,9,2017,6.1,46000,Greg McLean,James Gunn,John Gallagher Jr.,53,5000000,11084630,Orion Pictures,89,6084630,3
The BFG,4,1,2016,6.4,80000,Steven Spielberg,Melissa Mathison,Mark Rylance,53,140000000,195243411,Walt Disney Pictures,117,55243411,0
Zoolander 2,5,0,2016,4.7,66000,Ben Stiller,Justin Theroux,Ben Stiller,53,50000000,56722693,Panorama Films,101,6722693,1
Midnight Special,5,6,2016,6.6,77000,Jeff Nichols,Jeff Nichols,Michael Shannon,53,18000000,6740647,Warner Bros.,112,-11259353,3
The Angry Birds Movie,4,2,2016,6.3,84000,Clay Kaytis,Jon Vitti,Jason Sudeikis,13,73000000,352333929,Columbia Pictures,97,279333929,0
Live by Night,6,0,2017,6.4,54000,Ben Affleck,Ben Affleck,Ben Affleck,53,108000000,22678555,Appian Way,129,-85321445,0
Nerve,5,0,2016,6.5,120000,Henry Joost,Jessica Sharzer,Emma Roberts,53,19000000,85251425,Lionsgate,96,66251425,0
Mechanic: Resurrection,6,0,2016,5.7,79000,Dennis Gansel,Lewis John Carlino,Jason Statham,53,40000000,125729635,Summit Entertainment,98,85729635,0
Sing Street,5,4,2016,7.9,88000,John Carney,Simon Carmody,Ferdia Walsh-Peelo,23,52211949,13624522,Cosmo Films,106,-38587427,0
The Light Between Oceans,5,6,2016,7.2,54000,Derek Cianfrance,Derek Cianfrance,Michael Fassbender,52,20000000,25975621,Heyday Films,133,5975621,0
Shin Godzilla,3,0,2016,6.8,25000,Hideaki Anno,Hideaki Anno,Hiroki Hasegawa,27,52211949,78053145,Cine Bazar,120,25841196,0
Why Him?,6,4,2016,6.2,104000,John Hamburg,John Hamburg,Zoey Deutch,53,38000000,118102725,Twentieth Century Fox,111,80102725,0
Miracles from Heaven,4,3,2016,7.1,23000,Patricia Riggen,Christy Beam,Jennifer Garner,53,13000000,73983003,Columbia Pictures,109,60983003,0
Colossal,6,4,2017,6.2,61000,Nacho Vigalondo,Nacho Vigalondo,Anne Hathaway,6,15000000,4531320,Toy Fight Productions,109,-10468680,0
Free Fire,6,0,2017,6.4,44000,Ben Wheatley,Amy Jump,Sharlto Copley,52,55224657,3719383,Film4,91,-51505274,0
The Void,3,9,2017,5.9,33000,Jeremy Gillespie,Jeremy Gillespie,Aaron Poole,6,55224657,368372,120dB Films,90,-54856285,3
The Exception,6,6,2017,6.8,12000,David Leveaux,Simon Burke,Lily James,52,55224657,872805,Egoli Tossell KLK,107,-54351852,3
Neighbors 2: Sorority Rising,6,4,2016,5.7,116000,Nicholas Stoller,Andrew Jay Cohen,Seth Rogen,53,35000000,108007109,Universal Pictures,92,73007109,3
Ben-Hur,5,0,2016,5.7,43000,Timur Bekmambetov,Lew Wallace,Jack Huston,53,100000000,94061311,Hivemind,123,-5938689,0
Free State of Jones,6,0,2016,6.9,55000,Gary Ross,Gary Ross,Matthew McConaughey,53,50000000,25035950,Route One Entertainment,139,-24964050,0
Jackie,6,3,2016,6.7,75000,Pablo Larraín,Noah Oppenheim,Natalie Portman,53,9000000,29777777,Fox Searchlight Pictures,100,20777777,3
Gold,6,5,2017,6.7,60000,Stephen Gaghan,Patrick Massett,Matthew McConaughey,53,20000000,14880939,Black Bear Pictures,120,-5119061,3
Pete's Dragon,4,0,2016,6.7,55000,David Lowery,David Lowery,Bryce Dallas Howard,53,65000000,143695338,Walt Disney Pictures,102,78695338,0
Keanu,6,0,2016,6.3,47000,Peter Atencio,Jordan Peele,Keegan-Michael Key,53,15000000,20651333,Artists First,100,5651333,0
Goat,6,6,2016,5.7,7500,Andrew Neel,David Gordon Green,Ben Schnetzer,53,52211949,23020,Killer Films,96,-52188929,3
Storks,4,2,2016,6.8,58000,Nicholas Stoller,Nicholas Stoller,Andy Samberg,53,70000000,183388953,RatPac-Dune Entertainment,87,113388953,0
