name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,profit,cluster
Stanley & Iris,5,6,1990,6.4,7300,Martin Ritt,Pat Barker,Jane Fonda,53,23000000,5820015,Metro-Goldwyn-Mayer (MGM),104,-17179985,3
Flashback,6,0,1990,6.2,5100,Franco Amurri,David Loughery,Dennis Hopper,53,17866963,6488114,Paramount Pictures,108,-11378849,1
Men Don't Leave,5,4,1990,6.7,2400,Paul Brickman,Barbara Benedek,Jessica Lange,53,17866963,6070725,The Geffen Company,115,-11796238,3
Ski Patrol,4,0,1990,5.2,3400,Richard Correll,Steven Long Mitchell,Roger Rose,53,17866963,8533973,Epic Productions,91,-9332990,1
Ghost Dad,4,4,1990,4.4,7500,Sidney Poitier,Brent Maddock,Bill Cosby,53,17866963,25421633,Universal Pictures,83,7554670,1
Book of Love,5,4,1991,6.2,1100,Robert Shaye,William Kotzwinkle,Chris Young,53,19599756,1382259,New Line Cinema,82,-18217497,1
Hidden Agenda,6,6,1991,6.9,3700,Ken Loach,Jim Allen,Frances McDormand,52,19599756,1232210,Hemdale,108,-18367546,3
Everybody's Fine,5,6,1991,7.7,3700,Giuseppe Tornatore,Massimo De Rita,Marcello Mastroianni,25,19599756,1745470,Erre Produzioni,118,-17854286,3
Spaced Invaders,4,1,1990,5.3,3300,Patrick Read Johnson,Patrick Read Johnson,Douglas Barr,53,3000000,15369573,Silver Screen Partners IV,100,12369573,1
Meet the Applegates,6,4,1991,5.5,2200,Michael Lehmann,Michael Lehmann,Ed Begley Jr.,53,5000000,485772,Cinemarque Entertainment,90,-4514228,1
Betsy's Wedding,6,4,1990,5.6,3500,Alan Alda,Alan Alda,Alan Alda,53,17866963,19740070,Touchstone Pictures,94,1873107,1
Def by Temptation,6,9,1990,4.7,1400,James Bond III,James Bond III,James Bond III,53,17866963,2218579,Bonded Filmworks,95,-15648384,3
Heart Condition,6,4,1990,5.6,3300,James D. Parriott,James D. Parriott,Bob Hoskins,53,17866963,4134992,New Line Cinema,100,-13731971,3
My Father's Glory,1,1,1991,7.6,6200,Yves Robert,Louis Nucéra,Philippe Caubère,14,19599756,1730856,Gaumont,105,-17868900,1
Vincent & Theo,5,3,1990,6.9,3700,Robert Altman,Julian Mitchell,Tim Roth,14,17866963,2231274,Belbo Films,138,-15635689,0
Stella,5,6,1990,6.2,2400,John Erman,Olive Higgins Prouty,Bette Midler,53,17866963,20240128,The Samuel Goldwyn Company,109,2373165,3
The Forbidden Dance,5,6,1990,3.9,1500,Greydon Clark,Menahem Golan,Laura Harring,53,17866963,1823154,21st Century Film Corporation,97,-16043809,1
Loose Cannons,6,0,1990,4.9,4500,Bob Clark,Richard Christian Matheson,Gene Hackman,53,15000000,5585154,TriStar Pictures,94,-9414846,1
A Tale of Springtime,4,4,1990,7.2,4000,Éric Rohmer,Éric Rohmer,Anne Teyssèdre,14,17866963,20554,Compagnie Eric Rohmer (CER),108,-17846409,3
To Sleep with Anger,4,6,1990,7.2,2200,Charles Burnett,Charles Burnett,Danny Glover,53,17866963,1161135,SVS Films,102,-16705828,3
Where the Heart Is,6,4,1990,6.0,1500,John Boorman,Telsche Boorman,Dabney Coleman,53,15000000,1106475,Touchstone Pictures,107,-13893525,3
Love at Large,6,4,1990,5.7,1200,Alan Rudolph,Alan Rudolph,Tom Berenger,53,17866963,1436308,David Blocker Productions,97,-16430655,3
Downtown,6,0,1990,5.7,1800,Richard Benjamin,Nat Mauldin,Anthony Edwards,53,10000000,2346150,Pacific Western,96,-7653850,1
Short Time,5,4,1990,6.4,2200,Gregg Champion,John Blumenthal,Dabney Coleman,53,17866963,4010647,Gladden Entertainment,97,-13856316,1
American Ninja 4: The Annihilation,6,0,1991,4.0,4600,Cedric Sundstrom,Gideon Amir,Michael Dudikoff,53,19599756,358047,The Cannon Group,99,-19241709,1
Gate 2: The Trespassers,6,8,1992,4.8,2000,Tibor Takács,Michael Nankin,Louis Tripp,6,6500000,2032973,Vision PDG,93,-4467027,3
Come See the Paradise,6,6,1991,6.7,2600,Alan Parker,Alan Parker,Dennis Quaid,53,17500000,947306,Twentieth Century Fox,138,-16552694,3
Lambada,4,6,1990,3.5,979,Joel Silberg,Joel Silberg,J. Eddie Peck,53,17866963,4263112,Cannon Films,104,-13603851,1
May Fools,6,4,1990,7.3,2900,Louis Malle,Louis Malle,Miou-Miou,14,17866963,1576702,Nouvelles Éditions de Films (NEF),107,-16290261,3
The Last of the Finest,6,0,1990,5.8,1200,John Mackenzie,Jere Cunningham,Brian Dennehy,53,12000000,1531489,Orion Pictures,106,-10468511,1
Opportunity Knocks,5,4,1990,6.0,2900,Donald Petrie,Mitchel Katlin,Dana Carvey,53,17866963,11359129,Imagine Films Entertainment,103,-6507834,1
Funny About Love,5,4,1990,4.9,1300,Leonard Nimoy,Bob Greene,Gene Wilder,53,17866963,8141292,Duffy Films,101,-9725671,1
Graffiti Bridge,5,6,1990,4.5,1800,Prince,Prince,Prince,53,7500000,4562778,Paisley Park Films,90,-2937222,1
Coupe de Ville,5,4,1990,6.7,2300,Joe Roth,Mike Binder,Patrick Dempsey,53,17866963,715983,Morgan Creek Entertainment,99,-17150980,3
Sibling Rivalry,5,4,1990,5.4,2500,Carl Reiner,Martha Goldhirsh,Kirstie Alley,53,16000000,17854933,Castle Rock Entertainment,87,1854933,1
Vital Signs,6,6,1990,5.4,703,Marisa Silver,Larry Ketron,Adrian Pasdar,53,17866963,1224605,Twentieth Century Fox,103,-16642358,3
Body Chemistry,6,6,1990,4.3,406,Kristine Peterson,Jackson Barr,Marc Singer,53,17866963,2415312,Concorde-New Horizons,84,-15451651,1
The Haunting of Morella,6,9,1990,4.4,694,Jim Wynorski,Edgar Allan Poe,Nicole Eggert,53,17866963,1547867,Concorde-New Horizons,82,-16319096,3
The Fourth War,6,6,1990,5.6,1400,John Frankenheimer,Stephen Peters,Roy Scheider,53,17866963,1305887,Kodiak Films,91,-16561076,3
Tune in Tomorrow...,5,4,1990,6.2,1700,Jon Amiel,Mario Vargas Llosa,Barbara Hershey,53,11000000,1794001,Odyssey,107,-9205999,1
Impulse,6,5,1990,5.7,1200,Sondra Locke,John DeMarco,Theresa Russell,53,9000000,2544504,Warner Bros.,109,-6455496,3
Crossing the Line,6,5,1990,5.8,1000,David Leland,William McIlvanney,Kenny Ireland,52,17866963,59227,Palace Pictures,93,-17807736,3
Mindwalk,4,6,1991,7.6,3000,Bernt Amadeus Capra,Bernt Amadeus Capra,Liv Ullmann,53,19599756,774048,Atlas,112,-18825708,3
The Nasty Girl,5,4,1991,7.3,2500,Michael Verhoeven,Michael Verhoeven,Lena Stolze,55,19599756,2293625,Filmverlag der Autoren,92,-17306131,3
Terminator 2: Judgment Day,6,0,1991,8.5,1000000,James Cameron,James Cameron,Arnold Schwarzenegger,53,102000000,520881154,Carolco Pictures,137,418881154,2
Point Break,6,0,1991,7.3,166000,Kathryn Bigelow,Rick King,Patrick Swayze,53,24000000,83531958,Largo Entertainment,122,59531958,0
The Silence of the Lambs,6,5,1991,8.6,1300000,Jonathan Demme,Thomas Harris,Jodie Foster,53,19000000,272742922,Strong Heart/Demme Production,118,253742922,2
Hook,4,1,1991,6.8,240000,Steven Spielberg,J.M. Barrie,Dustin Hoffman,53,70000000,300854823,Amblin Entertainment,142,230854823,0
Boyz n the Hood,6,5,1991,7.8,130000,John Singleton,John Singleton,Cuba Gooding Jr.,53,6500000,57529070,Columbia Pictures,112,51029070,3
Cape Fear,6,5,1991,7.3,180000,Martin Scorsese,John D. MacDonald,Robert De Niro,53,35000000,182291969,Amblin Entertainment,128,147291969,0
Career Opportunities,5,4,1991,5.9,12000,Bryan Gordon,John Hughes,Frank Whaley,53,19599756,11336986,Hughes Entertainment,83,-8262770,1
The Addams Family,5,4,1991,6.9,140000,Barry Sonnenfeld,Charles Addams,Anjelica Huston,53,30000000,191502426,Orion Pictures,99,161502426,3
Thelma & Louise,6,1,1991,7.5,142000,Ridley Scott,Callie Khouri,Susan Sarandon,53,16500000,45456285,Pathé Entertainment,130,28956285,0
Robin Hood: Prince of Thieves,5,0,1991,6.9,182000,Kevin Reynolds,Pen Densham,Kevin Costner,53,48000000,390493908,Warner Bros.,143,342493908,0
The Doors,6,3,1991,7.2,86000,Oliver Stone,Randall Jahnson,Val Kilmer,53,38000000,34416893,Bill Graham Films,140,-3583107,0
Beauty and the Beast,1,2,1991,8.0,424000,Gary Trousdale,Linda Woolverton,Paige O'Hara,53,25000000,424967620,Walt Disney Pictures,84,399967620,2
Fried Green Tomatoes,5,6,1992,7.7,69000,Jon Avnet,Fannie Flagg,Kathy Bates,53,11000000,119418501,Universal Pictures,130,108418501,3
JFK,6,6,1991,8.0,146000,Oliver Stone,Jim Garrison,Kevin Costner,53,40000000,205405498,Warner Bros.,189,165405498,0
The Rocketeer,4,0,1991,6.5,55000,Joe Johnston,Dave Stevens,Billy Campbell,53,35000000,46704056,Walt Disney Pictures,108,11704056,1
My Girl,4,4,1991,6.9,75000,Howard Zieff,Laurice Elehwany,Anna Chlumsky,53,17000000,59489799,Columbia Pictures,102,42489799,1
Backdraft,6,0,1991,6.7,74000,Ron Howard,Gregory Widen,Kurt Russell,53,40000000,152368585,Imagine Films Entertainment,137,112368585,0
Bill & Ted's Bogus Journey,4,1,1991,6.3,72000,Peter Hewitt,Chris Matheson,Keanu Reeves,53,20000000,38039850,Nelson Entertainment,93,18039850,1
Father of the Bride,4,4,1991,6.5,71000,Charles Shyer,Frances Goodrich,Steve Martin,53,19599756,89325780,Touchstone Pictures,105,69726024,1
City Slickers,5,4,1991,6.8,51000,Ron Underwood,Lowell Ganz,Billy Crystal,53,27000000,179033791,Castle Rock Entertainment,113,152033791,3
Don't Tell Mom the Babysitter's Dead,5,4,1991,6.3,29000,Stephen Herek,Neil Landau,Christina Applegate,53,19599756,25196249,Home Box Office (HBO),102,5596493,1
The Fisher King,6,4,1991,7.5,81000,Terry Gilliam,Richard LaGravenese,Jeff Bridges,53,24000000,41895491,TriStar Pictures,137,17895491,3
Sleeping with the Enemy,6,6,1991,6.3,52000,Joseph Ruben,Nancy Price,Julia Roberts,53,19000000,174999005,Twentieth Century Fox,99,155999005,3
The Beautiful Troublemaker,10,6,1991,7.6,7500,Jacques Rivette,Pascal Bonitzer,Michel Piccoli,14,19599756,403056,Pierre Grise Productions,238,-19196700,0
Return to the Blue Lagoon,5,1,1991,5.2,19000,William A. Graham,Henry De Vere Stacpoole,Brian Krause,53,11000000,2807854,Columbia Pictures,102,-8192146,1
The Last Boy Scout,6,0,1991,7.0,95000,Tony Scott,Shane Black,Bruce Willis,53,43000000,59509925,Geffen Pictures,105,16509925,1
Star Trek VI: The Undiscovered Country,4,0,1991,7.2,72000,Nicholas Meyer,Gene Roddenberry,William Shatner,53,30000000,96888996,Paramount Pictures,110,66888996,1
My Own Private Idaho,6,6,1991,7.0,53000,Gus Van Sant,Gus Van Sant,River Phoenix,53,2500000,6401336,New Line Cinema,104,3901336,3
Drop Dead Fred,5,4,1991,5.9,27000,Ate de Jong,Elizabeth Livingston,Phoebe Cates,53,6788000,13878411,PolyGram Filmed Entertainment,103,7090411,1
Hot Shots!,5,0,1991,6.8,102000,Jim Abrahams,Jim Abrahams,Charlie Sheen,53,26000000,181096164,Twentieth Century Fox,84,155096164,1
Hudson Hawk,6,0,1991,5.8,54000,Michael Lehmann,Bruce Willis,Bruce Willis,53,65000000,17218080,TriStar Pictures,100,-47781920,1
The Prince of Tides,6,6,1991,6.7,17000,Barbra Streisand,Pat Conroy,Barbra Streisand,53,30000000,74787599,Columbia Pictures,132,44787599,3
Barton Fink,6,4,1991,7.7,116000,Joel Coen,Joel Coen,John Turturro,52,9000000,6153939,Circle Films,116,-2846061,3
Nothing But Trouble,5,4,1991,5.1,23000,Dan Aykroyd,Peter Aykroyd,Chevy Chase,53,40000000,8479793,Applied Action,94,-31520207,1
What About Bob?,4,4,1991,7.0,65000,Frank Oz,Alvin Sargent,Bill Murray,53,35000000,63707829,Touchstone Pictures,99,28707829,1
Naked Lunch,6,6,1992,7.0,48000,David Cronenberg,William S. Burroughs,Peter Weller,6,16000000,2641357,Recorded Picture Company (RPC),115,-13358643,3
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,4,0,1991,6.0,53000,Michael Pressman,Kevin Eastman,Paige Turco,53,25000000,78656813,Golden Harvest Company,88,53656813,1
The Naked Gun 2½: The Smell of Fear,5,4,1991,6.9,108000,David Zucker,Jim Abrahams,Leslie Nielsen,53,23000000,86930411,Paramount Pictures,85,63930411,3
Double Impact,6,0,1991,5.6,39000,Sheldon Lettich,Sheldon Lettich,Jean-Claude Van Damme,53,15000000,30102717,Stone Group Pictures,110,15102717,1
The Commitments,6,4,1991,7.6,34000,Alan Parker,Roddy Doyle,Robert Arkins,23,12000000,14919570,Beacon Communications,118,2919570,3
The Man in the Moon,5,6,1991,7.3,16000,Robert Mulligan,Jenny Wingfield,Sam Waterston,53,19599756,2853801,Metro-Goldwyn-Mayer (MGM),99,-16745955,3
The Double Life of Véronique,6,6,1991,7.8,44000,Krzysztof Kieslowski,Krzysztof Kieslowski,Irène Jacob,14,19599756,2175939,Sidéral Productions,98,-17423817,3
New Jack City,6,0,1991,6.7,33000,Mario Van Peebles,Thomas Lee Wright,Wesley Snipes,53,8000000,47624353,Warner Bros.,97,39624353,1
Toy Soldiers,6,0,1991,6.6,20000,Daniel Petrie Jr.,William P. Kennedy,Sean Astin,53,10000000,15073942,TriStar Pictures,111,5073942,1
The People Under the Stairs,6,4,1991,6.4,32000,Wes Craven,Wes Craven,Brandon Quintin Adams,53,6000000,31347154,Universal Pictures,102,25347154,3
Regarding Henry,5,6,1991,6.7,30000,Mike Nichols,J.J. Abrams,Harrison Ford,53,25000000,43001500,Paramount Pictures,108,18001500,3
Bugsy,6,3,1991,6.8,27000,Barry Levinson,James Toback,Warren Beatty,53,30000000,49114016,TriStar Pictures,136,19114016,3
Doc Hollywood,5,4,1991,6.2,34000,Michael Caton-Jones,Neil B. Shulman,Michael J. Fox,53,20000000,54830779,Warner Bros.,104,34830779,1
Delicatessen,6,4,1992,7.6,82000,Marc Caro,Jean-Pierre Jeunet,Marie-Laure Dougnac,14,20491222,1794187,Constellation,99,-18697035,3
Night on Earth,6,4,1991,7.7,57000,Jim Jarmusch,Jim Jarmusch,Winona Ryder,14,3500000,2023808,Victor Company of Japan (JVC),129,-1476192,0
Child's Play 3,6,9,1991,5.1,37000,Jack Bender,Don Mancini,Justin Whalin,52,13000000,20560255,Universal Pictures,90,7560255,3
Freddy's Dead: The Final Nightmare,6,8,1991,4.9,43000,Rachel Talalay,Wes Craven,Robert Englund,53,11000000,34872033,New Line Cinema,89,23872033,3
Oscar,4,4,1991,6.5,30000,John Landis,Claude Magnier,Sylvester Stallone,53,35000000,23562716,Joseph S. Vecchio Entertainment,109,-11437284,1
The Lovers on the Bridge,6,6,1999,7.6,13000,Leos Carax,Leos Carax,Juliette Binoche,14,28000000,29679,Films A2,125,-27970321,3
Highlander II: The Quickening,6,0,1991,4.2,44000,Russell Mulcahy,Gregory Widen,Christopher Lambert,52,30000000,15556340,Davis-Panzer Productions,91,-14443660,1
Stone Cold,6,0,1991,6.0,7300,Craig R. Baxley,Walter Doniger,Brian Bosworth,53,17000000,9151887,Stone Group Pictures,92,-7848113,1
Wild Hearts Can't Be Broken,1,6,1991,7.2,5000,Steve Miner,Matt Williams,Gabrielle Anwar,53,19599756,7294835,Walt Disney Pictures,88,-12304921,1
Showdown in Little Tokyo,6,0,1991,6.1,17000,Mark L. Lester,Stephen Glantz,Dolph Lundgren,53,8000000,2275557,Little Tokyo Productions,79,-5724443,1
Jungle Fever,6,6,1991,6.6,17000,Spike Lee,Spike Lee,Wesley Snipes,53,14000000,43882682,Universal Pictures,132,29882682,3
Harley Davidson and the Marlboro Man,6,0,1991,6.1,19000,Simon Wincer,Don Michael Paul,Mickey Rourke,53,23000000,7434726,Krisjair,98,-15565274,1
Not Without My Daughter,5,6,1991,6.4,13000,Brian Gilbert,Betty Mahmoody,Sally Field,53,19599756,14789113,Pathé Entertainment,116,-4810643,3
Defending Your Life,4,4,1991,7.2,18000,Albert Brooks,Albert Brooks,Albert Brooks,53,19599756,16371128,Geffen Pictures,112,-3228628,3
Flight of the Intruder,5,0,1991,5.8,6600,John Milius,Stephen Coonts,Danny Glover,53,35000000,14587732,Paramount Pictures,115,-20412268,1
Problem Child 2,5,4,1991,4.9,21000,Brian Levant,Scott Alexander,John Ritter,53,15000000,32704700,Universal Pictures,90,17704700,1
The Hard Way,6,0,1991,6.4,19000,John Badham,Lem Dobbs,Michael J. Fox,53,24000000,65595485,Universal Pictures,111,41595485,1
Ricochet,6,0,1991,6.2,17000,Russell Mulcahy,Fred Dekker,Denzel Washington,53,19599756,21756163,Home Box Office (HBO),102,2156407,1
L.A. Story,5,4,1991,6.7,30000,Mick Jackson,Steve Martin,Steve Martin,53,19599756,28862081,Carolco Pictures,95,9262325,3
Rush,6,0,1992,6.8,8200,Lili Fini Zanuck,Kim Wozencraft,Jason Patric,53,17000000,7241350,Metro-Goldwyn-Mayer (MGM),120,-9758650,1
Dead Again,6,5,1991,6.9,27000,Kenneth Branagh,Scott Frank,Kenneth Branagh,53,15000000,38016380,Paramount Pictures,107,23016380,3
Out for Justice,6,0,1991,6.1,22000,John Flynn,R. Lance Hill,Steven Seagal,53,14000000,39673161,Arnold Kopelson Productions,91,25673161,1
Only Yesterday,4,2,2016,7.6,29000,Isao Takahata,Hotaru Okamoto,Miki Imai,27,52211949,545825,Nippon Television Network (NTV),118,-51666124,0
The Indian Runner,6,6,1991,7.0,8600,Sean Penn,Sean Penn,David Morse,53,7000000,191125,Columbia Pictures,127,-6808875,3
An American Tail: Fievel Goes West,1,2,1991,6.5,24000,Phil Nibbelink,Flint Dille,James Stewart,53,19599756,40766041,Universal Pictures,75,21166285,1
Life Stinks,5,4,1991,5.9,9800,Mel Brooks,Mel Brooks,Mel Brooks,53,13000000,4102526,Brooksfilms,92,-8897474,1
Frankie and Johnny,6,4,1991,6.7,30000,Garry Marshall,Terrence McNally,Al Pacino,53,29000000,22773535,Paramount Pictures,118,-6226465,3
Grand Canyon,6,5,1992,6.9,15000,Lawrence Kasdan,Lawrence Kasdan,Danny Glover,53,20491222,40991329,Twentieth Century Fox,134,20500107,3
Close My Eyes,6,6,1991,6.3,3100,Stephen Poliakoff,Stephen Poliakoff,Alan Rickman,52,19599756,135893,Film Four International,108,-19463863,3
Homicide,6,5,1991,7.0,6500,David Mamet,David Mamet,Joe Mantegna,53,19599756,2971661,Pressman Film,102,-16628095,3
Soapdish,5,4,1991,6.6,15000,Michael Hoffman,Robert Harling,Sally Field,53,25000000,36489888,Paramount Pictures,97,11489888,3
Curly Sue,4,4,1991,5.9,21000,John Hughes,John Hughes,Jim Belushi,53,25000000,33691313,Warner Bros.,101,8691313,1
The Rapture,6,6,1991,6.3,5000,Michael Tolkin,Michael Tolkin,Mimi Rogers,53,19599756,1277404,New Line Cinema,100,-18322352,3
Mannequin: on the Move,4,4,1991,4.4,5800,Stewart Raffill,Edward Rugoff,Kristy Swanson,53,13000000,3752428,Gladden Entertainment,95,-9247572,1
Rock-A-Doodle,1,2,1992,6.1,8800,Don Bluth,Don Bluth,Glen Campbell,23,18000000,11657385,Goldcrest Films International,77,-6342615,1
Necessary Roughness,5,4,1991,6.2,11000,Stan Dragoti,Rick Natkin,Scott Bakula,53,13500000,26255594,Paramount Pictures,108,12755594,3
Cool as Ice,4,4,1991,2.9,9100,David Kellogg,David Stenn,Vanilla Ice,53,6000000,1193062,Alive Films,91,-4806938,1
Wild Orchid II: Two Shades of Blue,6,6,1992,4.0,1500,Zalman King,Zalman King,Nina Siemaszko,53,20491222,573904,Vision PDG,111,-19917318,1
Switch,6,4,1991,5.8,9100,Blake Edwards,Blake Edwards,Ellen Barkin,53,14000000,15545943,Beco Films,103,1545943,3
White Fang,4,1,1991,6.7,20000,Randal Kleiser,Jack London,Ethan Hawke,53,14000000,34793160,Walt Disney Pictures,107,20793160,1
Until the End of the World,6,0,1991,6.8,9500,Wim Wenders,Peter Carey,William Hurt,15,23000000,829625,Argos Films,158,-22170375,0
Only the Lonely,5,4,1991,6.4,10000,Chris Columbus,Chris Columbus,John Candy,53,19599756,25092802,Twentieth Century Fox,104,5493046,3
Dutch,5,4,1991,6.5,12000,Peter Faiman,John Hughes,Ed O'Neill,53,17000000,4603929,Twentieth Century Fox,107,-12396071,3
Shattered,6,5,1991,6.5,8900,Wolfgang Petersen,Richard Neely,Tom Berenger,53,22000000,11511031,Capella International,98,-10488969,3
Raise the Red Lantern,4,6,1991,8.1,30000,Yimou Zhang,Tong Su,Gong Li,8,19599756,2603061,ERA International,125,-16996695,0
Suburban Commando,4,0,1991,4.5,9600,Burt Kennedy,Frank A. Cappello,Hulk Hogan,53,19599756,6948859,New Line Cinema,90,-12650897,1
Popcorn,6,4,1991,5.8,4200,Mark Herrier,Mitchell Smith,Jill Schoelen,53,19599756,4205000,Movie Partners,91,-15394756,3
Mobsters,6,5,1991,6.0,8600,Michael Karbelnikoff,Michael Mahern,Christian Slater,53,23000000,20246790,Universal Pictures,104,-2753210,3
Operation Condor,5,0,1997,7.3,19000,Jackie Chan,Jackie Chan,Jackie Chan,17,35421722,10405394,Golden Harvest Company,80,-25016328,1
If Looks Could Kill,5,0,1991,5.8,6600,William Dear,Fred Dekker,Richard Grieco,53,19599756,7788597,Warner Bros.,88,-11811159,1
The Butcher's Wife,5,4,1991,5.4,6800,Terry Hughes,Ezra Litwak,Demi Moore,53,19599756,9689816,Paramount Pictures,107,-9909940,1
Dying Young,6,6,1991,6.1,15000,Joel Schumacher,Marti Leimbach,Julia Roberts,53,18000000,82264675,Fogwood Films,111,64264675,3
Dogfight,6,4,1991,7.4,8700,Nancy Savoca,Bob Comfort,River Phoenix,53,19599756,394631,Warner Bros.,94,-19205125,3
Whore,2,6,1991,5.6,3500,Ken Russell,David Hines,Theresa Russell,53,19599756,1008404,Cheap Date,85,-18591352,1
Hear My Song,6,4,1992,7.0,1600,Peter Chelsom,Peter Chelsom,Ned Beatty,23,20491222,4313473,British Screen Productions,104,-16177749,3
Other People's Money,6,4,1991,6.2,8200,Norman Jewison,Jerry Sterner,Danny DeVito,53,19599756,25682090,Warner Bros.,103,6082334,3
Delirious,4,4,1991,5.9,8000,Tom Mankiewicz,Lawrence J. Cohen,John Candy,53,18000000,5546827,Metro-Goldwyn-Mayer (MGM),96,-12453173,1
Flirting,6,6,1992,7.2,5800,John Duigan,John Duigan,Noah Taylor,2,20491222,2415396,Kennedy Miller Productions,99,-18075826,3
High Heels,6,4,1991,7.1,14000,Pedro Almodóvar,Pedro Almodóvar,Victoria Abril,45,19599756,1710057,Canal+,112,-17889699,3
Little Man Tate,4,6,1991,6.6,14000,Jodie Foster,Scott Frank,Jodie Foster,53,10000000,25010896,Orion Pictures,99,15010896,3
Shadows and Fog,5,4,1992,6.7,16000,Woody Allen,Woody Allen,Woody Allen,53,14000000,2735731,Jack Rollins & Charles H. Joffe Productions,85,-11264269,3
Shakes the Clown,6,4,1992,5.6,4700,Bobcat Goldthwait,Bobcat Goldthwait,Bobcat Goldthwait,53,1400000,115103,IRS Media,87,-1284897,3
Black Robe,6,1,1991,7.1,6600,Bruce Beresford,Brian Moore,Lothaire Bluteau,6,19599756,8211952,Alliance Communications Corporation,101,-11387804,0
Billy Bathgate,6,5,1991,5.9,11000,Robert Benton,E.L. Doctorow,Dustin Hoffman,53,48000000,15565363,Touchstone Pictures,106,-32434637,3
Europa,6,6,1991,7.6,20000,Lars von Trier,Lars von Trier,Barbara Sukowa,11,19599756,1015007,Alicéléo,112,-18584749,3
The Doctor,5,6,1991,7.0,5200,Randa Haines,Ed Rosenbaum,William Hurt,53,19599756,38120905,Touchstone Pictures,122,18521149,3
Kafka,5,6,1991,6.9,9600,Steven Soderbergh,Lem Dobbs,Jeremy Irons,14,11000000,1059071,Baltimore Pictures,98,-9940929,3
Johnny Suede,6,4,1992,5.8,3800,Tom DiCillo,Tom DiCillo,Brad Pitt,47,500000,90091,Arena,97,-409909,3
Mystery Date,5,4,1991,6.0,2700,Jonathan Wacks,Parker Bennett,Ethan Hawke,53,10000000,6166819,Orion Pictures,97,-3833181,1
Ernest Scared Stupid,4,4,1991,5.8,11000,John R. Cherry III,John R. Cherry III,Jim Varney,53,19599756,14143280,Touchstone Pictures,91,-5456476,1
The Five Heartbeats,6,6,1991,7.6,3900,Robert Townsend,Robert Townsend,Robert Townsend,53,19599756,8750400,Twentieth Century Fox,121,-10849356,3
Mississippi Masala,6,6,1992,6.7,4800,Mira Nair,Sooni Taraporevala,Denzel Washington,53,20491222,7308786,Black River Productions,118,-13182436,3
The Marrying Man,6,4,1991,5.8,5300,Jerry Rees,Neil Simon,Kim Basinger,53,26000000,12454768,Hollywood Pictures,115,-13545232,3
"He Said, She Said",5,4,1991,5.6,6100,Ken Kwapis,Brian Hohlfeld,Kevin Bacon,53,19599756,9804775,Paramount Pictures,115,-9794981,1
Poison,10,6,1991,6.4,4100,Todd Haynes,Jean Genet,Edith Meeks,53,250000,787280,Bronze Eye Productions,85,537280,3
King Ralph,4,4,1991,5.3,15000,David S. Ward,Emlyn Williams,John Goodman,53,23000000,52487045,Universal Pictures,97,29487045,1
Enchanted April,4,6,1992,7.4,6200,Mike Newell,Elizabeth von Arnim,Alfred Molina,52,20491222,13200170,BBC Films,95,-7291052,3
Mediterraneo,6,4,1991,7.5,14000,Gabriele Salvatores,Enzo Monteleone,Diego Abatantuono,25,19599756,4532791,A.M.A. Film,96,-15066965,3
House Party 2,6,4,1991,5.3,6100,George Jackson,Reginald Hudlin,Christopher Reid,53,5000000,19438638,"Jackson/McHenry Company,The",94,14438638,1
Deceived,5,5,1991,6.2,6700,Damian Harris,Mary Agnes Donoghue,Goldie Hawn,53,19599756,28738096,Touchstone Pictures,104,9138340,3
The Perfect Weapon,6,0,1991,6.0,3800,Mark DiSalle,David C. Wilson,Jeff Speakman,53,10000000,14061361,Paramount Pictures,83,4061361,1
Class Action,6,6,1991,6.4,7000,Michael Apted,Carolyn Shelby,Gene Hackman,53,19599756,28277918,Interscope Communications,110,8678162,3
Under Suspicion,6,5,1992,6.5,3800,Simon Moore,Simon Moore,Liam Neeson,52,6000000,221295,Carnival Film & Television,99,-5778705,3
Edward II,6,6,1991,6.8,2500,Derek Jarman,Christopher Marlowe,Steven Waddington,52,19599756,706131,British Screen Productions,87,-18893625,3
The Princess and the Goblin,1,2,1994,6.8,2600,József Gémes,Robin Lyons,Claire Bloom,52,10000000,2105078,Siriol Productions,82,-7894922,1
Rambling Rose,6,6,1991,6.6,4700,Martha Coolidge,Calder Willingham,Laura Dern,53,7500000,6266621,Carolco Pictures,112,-1233379,3
Big Girls Don't Cry... They Get Even,4,4,1992,6.5,1800,Joan Micklin Silver,Frank Mugavero,Griffin Dunne,53,20491222,271327,New Line Cinema,96,-20219895,1
K2,6,1,1992,6.2,6500,Franc Roddam,Patrick Meyers,Michael Biehn,52,20491222,3106559,Paramount Pictures,104,-17384663,1
Prospero's Books,6,6,1991,6.9,6100,Peter Greenaway,William Shakespeare,John Gielgud,52,19599756,1750301,Allarts,124,-17849455,3
Pure Luck,4,4,1991,5.8,6700,Nadia Tass,Francis Veber,Martin Short,53,17010000,24941969,Hivemind,96,7931969,1
F/X2,5,0,1991,5.9,9000,Richard Franklin,Robert T. Megginson,Bryan Brown,53,16400000,21082165,Orion Pictures,108,4682165,1
The Adjuster,6,4,1992,6.7,3300,Atom Egoyan,Atom Egoyan,Elias Koteas,6,20491222,396573,Alliance Entertainment,102,-20094649,3
